date,Infected_0-17,Infected_18-49,Infected_50-64,Infected_65+
2020-04-02,120,5302,2879,2342
2020-04-03,137,5917,3253,2660
2020-04-04,160,6610,3653,2966
2020-04-05,173,7099,3884,3129
2020-04-06,197,7753,4344,3516
2020-04-07,222,8289,4639,3751
2020-04-08,252,8939,5003,4056
2020-04-09,269,9469,5347,4335
2020-04-10,303,10069,5633,4561
2020-04-11,330,10599,5941,4870
2020-04-12,337,10838,6079,5036
2020-04-13,362,11246,6348,5320
2020-04-14,385,11721,6644,5605
2020-04-15,432,12479,7141,6051
2020-04-16,472,13144,7488,6360
2020-04-17,507,13798,7862,6729
2020-04-18,550,14408,8232,7071
2020-04-19,573,14690,8385,7267
2020-04-20,683,15901,8961,7650
2020-04-21,768,17009,9517,8035
2020-04-22,855,18004,10025,8401
2020-04-23,936,18954,10451,8832
2020-04-24,1011,19897,10885,9256
2020-04-25,1039,20379,11139,9512
2020-04-26,1085,21028,11442,9824
2020-04-27,1190,21888,11781,10086
2020-04-28,1263,22596,12153,10413
2020-04-29,1398,23836,12705,10906
2020-04-30,1449,24613,13044,11256
2020-05-01,1566,25548,13454,11547
2020-05-02,1640,26256,13773,11860
2020-05-03,1715,26956,14078,12098
2020-05-04,1773,27556,14366,12425
2020-05-05,1937,28968,14974,12842
2020-05-06,2055,29902,15375,13194
2020-05-07,2181,30860,15793,13580
2020-05-08,2260,32004,16250,13948
2020-05-09,2373,33190,16729,14290
2020-05-10,2444,33805,17002,14597
2020-05-11,2549,34573,17322,14845
2020-05-12,2672,35567,17701,15098
2020-05-13,2799,36602,18154,15498
2020-05-14,2951,37637,18510,15725
2020-05-15,3064,38611,18908,16101
2020-05-16,3225,39651,19365,16489
2020-05-17,3355,40539,19703,16727
2020-05-18,3446,41321,20003,16920
2020-05-19,3657,42591,20468,17232
2020-05-20,3855,43749,20967,17513
2020-05-21,4049,44952,21461,17864
2020-05-22,4273,46131,21938,18164
2020-05-23,4462,47331,22361,18424
2020-05-24,4633,48364,22754,18670
2020-05-25,4872,49643,23185,18898
2020-05-26,5122,50981,23633,19095
2020-05-27,5371,52555,24154,19462
2020-05-28,5542,53795,24617,19773
2020-05-29,5861,55552,25223,20073
2020-05-30,6254,57738,25964,20455
2020-05-31,6488,59144,26405,20792
2020-06-01,6706,60493,26880,21054
2020-06-02,6925,61896,27334,21354
2020-06-03,7119,63152,27762,21595
2020-06-04,7408,64914,28396,22002
2020-06-05,7678,66755,29033,22365
2020-06-06,7947,68412,29556,22704
2020-06-07,8248,69915,30025,22939
2020-06-08,8509,71233,30400,23154
2020-06-09,8800,72829,30914,23469
2020-06-10,9136,74622,31530,23806
2020-06-11,9461,76220,32069,24043
2020-06-12,9819,78441,32783,24403
2020-06-13,10184,80348,33357,24762
2020-06-14,10451,81943,33871,24981
2020-06-15,10702,83254,34290,25109
2020-06-16,11064,85325,34922,25503
2020-06-17,11582,87796,35609,25911
2020-06-18,12063,90278,36485,26385
2020-06-19,12441,92703,37213,26741
2020-06-20,12897,95513,38046,27173
2020-06-21,13346,98269,38795,27456
2020-06-22,13867,101474,39667,27864
2020-06-23,14524,106053,40923,28528
2020-06-24,14968,109489,41870,29048
2020-06-25,15449,112547,42721,29544
2020-06-26,16093,116389,43730,30007
2020-06-27,16546,118923,44383,30333
2020-06-28,17157,122833,45434,30893
2020-06-29,17739,127082,46486,31379
2020-06-30,18672,133458,48149,32145
2020-07-01,19328,138340,49466,32815
2020-07-02,20088,143601,50845,33445
2020-07-03,20610,147853,51955,34055
2020-07-04,21219,151294,52869,34493
2020-07-05,22332,158767,54836,35441
2020-07-06,22861,162714,55931,35957
2020-07-07,23960,170255,58017,36911
2020-07-08,24556,174719,59300,37586
2020-07-09,25160,179727,60708,38346
2020-07-10,25889,184939,62124,39039
2020-07-11,26652,190310,63696,39776
2020-07-12,27415,195752,65134,40473
2020-07-13,28108,200437,66427,41080
2020-07-14,29156,207574,68493,42007
2020-07-15,29945,213083,69998,42748
2020-07-16,31018,219485,71688,43550
2020-07-17,31953,225279,73362,44297
2020-07-18,32913,231171,74999,45166
2020-07-19,33630,235513,76179,45759
2020-07-20,34617,241406,77787,46495
2020-07-21,35962,249412,80056,47673
2020-07-22,37335,256853,82217,48744
2020-07-23,38301,262780,84114,49648
2020-07-24,39396,268931,86034,50518
2020-07-25,40407,274037,87494,51190
2020-07-26,41148,278295,88800,51772
2020-07-27,41836,282008,89869,52302
2020-07-28,42697,287413,91465,53138
2020-07-29,43880,293721,93273,54039
2020-07-30,44793,298735,94730,54743
2020-07-31,45520,302739,95892,55360
2020-08-01,46556,308114,97551,56206
2020-08-02,47286,311547,98574,56786
2020-08-03,47920,314238,99383,57247
2020-08-04,48524,317287,100408,57847
2020-08-05,49158,320274,101404,58458
2020-08-06,50193,325283,102941,59282
2020-08-07,51132,329682,104297,59954
2020-08-08,52104,334619,105860,60829
2020-08-09,53136,339235,107300,61464
2020-08-10,54778,346637,109714,62506
2020-08-11,56276,353518,111811,63617
2020-08-12,57230,357676,113099,64298
2020-08-13,58146,362344,114633,65116
2020-08-14,59682,369772,116986,66403
2020-08-15,60630,374400,118498,67168
2020-08-16,61538,378186,119629,67816
2020-08-17,62233,380923,120440,68211
2020-08-18,63118,384524,121521,68806
2020-08-19,63909,388034,122554,69380
2020-08-20,64573,391321,123591,69957
2020-08-21,65360,395106,124841,70688
2020-08-22,66204,399060,126041,71455
2020-08-23,66828,401960,126998,71901
2020-08-24,67462,404499,127847,72358
2020-08-25,68163,408100,128929,72988
2020-08-26,68731,410668,129732,73489
2020-08-27,69369,413764,130701,74124
2020-08-28,69964,416615,131694,74665
2020-08-29,70677,420231,132806,75284
2020-08-30,71224,422691,133533,75729
2020-08-31,71776,424850,134175,76098
2020-09-01,72271,427519,134862,76511
2020-09-02,72822,430475,135797,77191
2020-09-03,73330,433487,136757,77807
2020-09-04,73915,436511,137641,78262
2020-09-05,74490,439510,138496,78740
2020-09-06,74886,441336,139067,79046
2020-09-07,75198,442946,139563,79301
2020-09-08,75382,443906,139866,79476
2020-09-09,75769,445900,140488,79803
2020-09-10,76136,447876,141078,80183
2020-09-11,76593,450341,141798,80630
2020-09-12,77187,453134,142627,81053
2020-09-13,77560,454811,143153,81333
2020-09-14,77859,456173,143563,81506
2020-09-15,78192,457919,144116,81822
2020-09-16,78506,459903,144721,82148
2020-09-17,78946,462003,145439,82521
2020-09-18,79502,464501,146262,82954
2020-09-19,80069,466993,147049,83379
2020-09-20,80508,468969,147624,83683
2020-09-21,80868,470432,148177,83936
2020-09-22,81177,472300,148760,84312
2020-09-23,81545,474158,149356,84659
2020-09-24,81942,476199,149978,85007
2020-09-25,82484,478701,150729,85434
2020-09-26,83024,481120,151507,85776
2020-09-27,83407,482861,152059,86053
2020-09-28,83695,484115,152456,86274
2020-09-29,84064,485990,153030,86652
2020-09-30,84468,487779,153584,86965
2020-10-01,84871,489846,154299,87371
2020-10-02,85246,491142,154619,87546
2020-10-03,85748,493676,155398,88023
2020-10-04,86137,495458,156007,88296
2020-10-05,86370,496431,156312,88464
2020-10-06,86720,498012,156845,88764
2020-10-07,87201,500052,157546,89114
2020-10-08,87657,502291,158233,89535
2020-10-09,88203,504734,159028,89927
2020-10-10,88691,507025,159737,90249
2020-10-11,89138,509044,160393,90571
2020-10-12,89498,510413,160823,90787
2020-10-13,89843,511954,161329,91051
2020-10-14,90259,513932,161957,91359
2020-10-15,90645,515699,162544,91697
2020-10-16,91051,517420,163077,92027
2020-10-17,91471,519066,163593,92326
2020-10-18,91935,521159,164194,92643
2020-10-19,92375,523072,164817,92952
2020-10-20,92864,525174,165568,93333
2020-10-21,93249,526820,166162,93662
2020-10-22,94030,530359,167321,94321
2020-10-23,94896,533822,168370,94882
2020-10-24,95603,536903,169336,95336
2020-10-25,95990,538674,169913,95584
2020-10-26,96360,540531,170563,95901
2020-10-27,96978,543262,171333,96305
2020-10-28,97497,545660,172094,96800
2020-10-29,97994,547963,172862,97247
2020-10-30,98615,550862,173917,97764
2020-10-31,99123,553578,174737,98240
2020-11-01,99679,555933,175508,98643
2020-11-02,100239,558194,176308,99065
2020-11-03,100856,561326,177367,99592
2020-11-04,101430,564094,178172,100004
2020-11-05,102277,567927,179365,100643
2020-11-06,102996,571373,180424,101279
2020-11-07,103975,576051,181808,101922
2020-11-08,105005,580281,183085,102592
2020-11-09,105792,583469,184005,103063
2020-11-10,106693,588029,185315,103745
2020-11-11,107582,592114,186603,104403
2020-11-12,108445,596237,187873,105031
2020-11-13,109636,602180,189615,106013
2020-11-14,111029,608738,191565,107074
2020-11-15,112297,614649,193375,107973
2020-11-16,113638,619702,194932,108766
2020-11-17,114812,625550,196717,109763
2020-11-18,116320,632227,198904,110871
2020-11-19,117930,640116,201254,112026
2020-11-20,119794,649210,204214,113542
2020-11-21,121574,657635,206897,114971
2020-11-22,122672,662497,208339,115905
2020-11-23,124712,671494,211185,117343
2020-11-24,126874,682308,214756,119130
2020-11-25,128707,690862,217589,120544
2020-11-26,130355,698204,219932,121832
2020-11-27,131829,705285,222191,123005
2020-11-28,133586,714382,225207,124744
2020-11-29,135365,722382,227953,126255
2020-11-30,136904,729630,230204,127432
2020-12-01,139427,741663,234277,129548
2020-12-02,141712,752442,237843,131495
2020-12-03,144555,765403,241906,133635
2020-12-04,147807,780365,246393,135981
2020-12-05,151540,798102,251923,139047
2020-12-06,155054,812529,256392,141371
2020-12-07,158338,826081,260565,143631
2020-12-08,162504,844391,266080,146465
2020-12-09,166453,861727,271628,149303
2020-12-10,171218,882580,278211,152545
2020-12-11,175820,903402,285130,155904
2020-12-12,179873,921022,290746,158920
2020-12-13,184347,940264,297006,162211
2020-12-14,188369,958476,303461,165856
2020-12-15,195429,989940,313464,171018
2020-12-16,202824,1020056,323215,176030
2020-12-17,208045,1043558,331246,180273
2020-12-18,213673,1068602,339716,184721
2020-12-19,219738,1094812,348936,189671
2020-12-20,224882,1116119,356328,193693
2020-12-21,229284,1134542,362733,197117
2020-12-22,234174,1156574,370623,201338
2020-12-23,234174,1156574,370623,201338
2020-12-24,244351,1200331,386028,210115
2020-12-25,248331,1217554,391940,213365
2020-12-26,255715,1245473,401601,218524
2020-12-27,260305,1263780,408076,222306
2020-12-28,264242,1280947,414336,226184
2020-12-29,268121,1298364,420482,229656
2020-12-30,268121,1298364,420482,229656
2020-12-31,277420,1341369,434628,237603
2021-01-01,284404,1372058,444733,243143
2021-01-02,290655,1397879,453356,247791
2021-01-03,294879,1414371,459070,251000
2021-01-04,298917,1431570,465397,254873
2021-01-05,303249,1448341,471057,257996
2021-01-06,307852,1468660,477988,262405
2021-01-07,314694,1497244,487547,267362
2021-01-08,321802,1527536,497350,272795
2021-01-09,328748,1555858,506646,277893
2021-01-10,334451,1578202,514231,282092
2021-01-11,339927,1598547,521163,285832
2021-01-12,344861,1617300,527510,289522
2021-01-13,350118,1637122,534354,293498
2021-01-14,356370,1660484,542772,298095
2021-01-15,362473,1682630,550676,302548
2021-01-16,368936,1705601,558733,307249
2021-01-17,373656,1722010,564745,310785
2021-01-18,377455,1734696,569334,313509
2021-01-19,380783,1746895,573727,315996
2021-01-20,383407,1757542,577746,318359
2021-01-21,386617,1769880,582324,321246
2021-01-22,389721,1782501,586778,324030
2021-01-23,393279,1795806,591372,326670
2021-01-24,397453,1810255,596666,329760
2021-01-25,400095,1819350,600018,331706
2021-01-26,402283,1828399,603406,333827
2021-01-27,404631,1837255,606779,335853
2021-01-28,407198,1847694,610690,338251
2021-01-29,409826,1857546,614408,340478
2021-01-30,412601,1867867,618143,342610
2021-01-31,414991,1876071,621018,344502
2021-02-01,416891,1882333,623439,345985
2021-02-02,418365,1887798,625572,347383
2021-02-03,420213,1894834,628226,349039
2021-02-04,422274,1902343,630958,350812
2021-02-05,424067,1908979,633364,352363
2021-02-06,426326,1917098,636296,354119
2021-02-07,427969,1922508,638410,355369
2021-02-08,429257,1926874,640035,356332
2021-02-09,430453,1931294,641686,357449
2021-02-10,431804,1935819,643344,358485
2021-02-11,433159,1941204,645327,359817
2021-02-12,434526,1946247,647161,360993
2021-02-13,435945,1950953,648871,361993
2021-02-14,436921,1954321,650118,362882
2021-02-15,437865,1957294,651225,363548
2021-02-16,438493,1959463,652016,364046
